genus,organism_name,assembly_id
Alternaria,Alternaria novae-zelandiae,GCA_023758075.1
Alternaria,Alternaria oregonensis,GCA_040583965.1
Alternaria,Alternaria panax,GCA_019702505.1
Alternaria,Alternaria porri,GCA_029783965.1
Alternaria,Alternaria postmessia,GCA_024291825.1
Alternaria,Alternaria postmessia,GCA_049724655.1
Alternaria,Alternaria postmessia,GCA_050710595.1
Alternaria,Alternaria postmessia,GCA_050710685.1
Alternaria,Alternaria postmessia,GCA_050710805.1
Alternaria,Alternaria postmessia,GCA_050711445.1
Alternaria,Alternaria radicina,GCA_050230835.1
Alternaria,Alternaria rosae,GCA_020736505.1
Alternaria,Alternaria rosae,GCA_024043135.1
Alternaria,Alternaria solani,GCA_002837235.1
Alternaria,Alternaria solani,GCA_002952155.1
Alternaria,Alternaria solani,GCA_036363465.1
Alternaria,Alternaria sp. 'sect. Undifilum',GCA_024321975.1
Alternaria,Alternaria sp. ALMS-2024a,GCA_049307025.1
Alternaria,Alternaria sp. Ai002NY15,GCA_023758125.1
Alternaria,Alternaria sp. BMP 0032,GCA_023758005.1
Alternaria,Alternaria sp. BMP 2799,GCA_023758145.1
Alternaria,Alternaria sp. DAOMC 225332,GCA_040584015.1
Alternaria,Alternaria sp. DET2042,GCA_040583805.1
Alternaria,Alternaria sp. DET2072,GCA_040583825.1
Alternaria,Alternaria sp. DET2103,GCA_040583765.1
Alternaria,Alternaria sp. DET2104,GCA_040583745.1
Alternaria,Alternaria sp. DET2105,GCA_040583725.1
Alternaria,Alternaria sp. DET2106,GCA_040583705.1
Alternaria,Alternaria sp. DET2107,GCA_040583685.1
Alternaria,Alternaria sp. KAS5446,GCA_040583665.1
Alternaria,Alternaria sp. KAS5449,GCA_040583645.1
Alternaria,Alternaria sp. KAS5470,GCA_040583605.1
Alternaria,Alternaria sp. KAS5474,GCA_040583625.1
Alternaria,Alternaria sp. KAS5477,GCA_040583575.1
Alternaria,Alternaria sp. KAS5486,GCA_040583525.1
Alternaria,Alternaria sp. KAS5506,GCA_040583505.1
Alternaria,Alternaria sp. M3903,GCA_023621305.1
Alternaria,Alternaria sp. M3908,GCA_023621335.1
Alternaria,Alternaria sp. MG1,GCA_003574525.1
Alternaria,Alternaria sp. S3601,GCA_023621325.1
Alternaria,Alternaria sp. SPS-2,GCA_024606205.1
Alternaria,Alternaria tenuissima,GCA_004154735.1
Alternaria,Alternaria tenuissima,GCA_004154745.1
Alternaria,Alternaria tenuissima,GCA_004154765.1
Alternaria,Alternaria tenuissima,GCA_004154845.1
Alternaria,Alternaria tenuissima,GCA_004156015.1
Alternaria,Alternaria tenuissima,GCA_004156035.1
Alternaria,Alternaria tenuissima,GCA_004168565.1
Alternaria,Alternaria tenuissima,GCA_017589455.1
Alternaria,Alternaria tenuissima,GCA_041430775.1
Alternaria,Alternaria triticimaculans,GCA_023758025.1
Alternaria,Alternaria triticimaculans,GCA_040583915.1
Alternaria,Alternaria triticina,GCA_022609215.1
Alternaria,Alternaria triticina,GCA_040583995.1
Alternaria,Alternaria ventricosa,GCA_023758065.1
Alternaria,Alternaria viburni,GCA_023758015.1
Anisogramma,Anisogramma anomala,GCA_038502455.1
Apiognomonia,,
Armillaria,Armillaria altimontana,GCA_022818075.1
Armillaria,Armillaria borealis,GCA_013427175.2
Armillaria,Armillaria borealis,GCA_030435635.1
Armillaria,Armillaria calvescens,GCA_043748625.1
Armillaria,Armillaria fumosa,GCA_030407015.1
Armillaria,Armillaria fuscipes,GCA_001679825.1
Armillaria,Armillaria gallica,GCA_002307695.1
Armillaria,Armillaria gallica,GCA_012064365.1
Armillaria,Armillaria gallica,GCA_026212265.1
Armillaria,Armillaria gallica,GCA_037576215.1
Armillaria,Armillaria gallica,GCA_038088205.1
Armillaria,Armillaria luteobubalina,GCA_030435615.1
Armillaria,Armillaria mellea,GCA_030407055.1
Armillaria,Armillaria mexicana,GCA_052426525.1
Armillaria,Armillaria nabsnona,GCA_030407065.1
Armillaria,Armillaria novae-zelandiae,GCA_030435655.1
Armillaria,Armillaria sinapina,GCA_040085025.1
Armillaria,Armillaria solidipes,GCA_002307675.1
Armillaria,Armillaria solidipes,GCA_022818035.1
Armillaria,Armillaria solidipes,GCA_053525415.1
Armillaria,Armillaria sp. CMW 4456,GCA_028551335.1
Arthuriomyces,,
Ascochyta,Ascochyta clinopodiicola,GCA_027946445.1
Ascochyta,Ascochyta fabae,GCA_004335285.1
Ascochyta,Ascochyta fabae,GCA_024372665.1
Ascochyta,Ascochyta fabae,GCA_024372685.1
Ascochyta,Ascochyta koolunga,GCA_004151145.1
Ascochyta,Ascochyta koolunga,GCA_004151165.1
Ascochyta,Ascochyta koolunga,GCA_004151575.1
Ascochyta,Ascochyta koolunga,GCA_026119505.1
Ascochyta,Ascochyta koolunga,GCA_026119515.1
Ascochyta,Ascochyta koolunga,GCA_026119525.1
Ascochyta,Ascochyta koolunga,GCA_026119535.1
Ascochyta,Ascochyta koolunga,GCA_026119565.1
Ascochyta,Ascochyta koolunga,GCA_026547115.1
Ascochyta,Ascochyta lentis,GCA_004011705.1
Ascochyta,Ascochyta lentis,GCA_004335125.1
Ascochyta,Ascochyta lentis,GCA_004335135.1
Ascochyta,Ascochyta lentis,GCA_004335145.1
Ascochyta,Ascochyta lentis,GCA_016097295.1
Ascochyta,Ascochyta lentis,GCA_016097305.1
Ascochyta,Ascochyta lentis,GCA_016097315.1
Ascochyta,Ascochyta lentis,GCA_016097375.2
Ascochyta,Ascochyta lentis,GCA_022606875.1
Ascochyta,Ascochyta lentis,GCA_022606885.1
Ascochyta,Ascochyta lentis,GCA_022607105.2
Ascochyta,Ascochyta pisi,GCA_026119825.1
Ascochyta,Ascochyta pisi,GCA_039634435.1
Ascochyta,Ascochyta rabiei,GCA_001630375.1
Ascochyta,Ascochyta rabiei,GCA_004011695.2
Ascochyta,Ascochyta rabiei,GCA_011037155.1
Ascochyta,Ascochyta rabiei,GCA_056320135.1
Ascochyta,Ascochyta rabiei,GCA_056320165.1
Ascochyta,Ascochyta rabiei,GCA_056320195.1
Ascochyta,Ascochyta viciae,GCA_004335155.1
Ascochyta,Ascochyta viciae-villosae,GCA_004335205.1
Aspergillus,Aspergillus aculeatinus,GCA_016748025.1
Aspergillus,Aspergillus aculeatinus CBS 121060,GCA_003184765.1
Aspergillus,Aspergillus aculeatus,GCA_039111445.1
Aspergillus,Aspergillus aculeatus,GCA_039111485.1
Aspergillus,Aspergillus aculeatus ATCC 16872,GCA_001890905.1
Aspergillus,Aspergillus aff. floccosus IMV 01167,GCA_001931935.1
Aspergillus,Aspergillus affinis,GCA_023601865.2
Aspergillus,Aspergillus aflatoxiformans,GCA_037043995.1
Aspergillus,Aspergillus alliaceus,GCA_009176365.1
Aspergillus,Aspergillus alliaceus,GCA_009193605.1
Aspergillus,Aspergillus alliaceus,GCA_013421405.2
Aspergillus,Aspergillus alliaceus,GCA_029169295.1
Aspergillus,Aspergillus ambiguus,GCA_047715705.1
Aspergillus,Aspergillus amoenus,GCA_009812435.1
Aspergillus,Aspergillus amoenus,GCA_023624915.1
Aspergillus,Aspergillus amstelodami,GCA_027569315.1
Aspergillus,Aspergillus annui,GCA_047496425.1
Aspergillus,Aspergillus arachidicola,GCA_002749805.1
Aspergillus,Aspergillus arachidicola,GCA_009193545.1
Aspergillus,Aspergillus aspearensis,GCA_044706995.1
Aspergillus,Aspergillus asperescens,GCA_027569075.1
Aspergillus,Aspergillus aurantiobrunneus,GCA_047715765.1
Aspergillus,Aspergillus austwickii,GCA_037043805.1
Aspergillus,Aspergillus avenaceus,GCA_009193465.1
Aspergillus,Aspergillus awamori,GCA_003850985.1
Aspergillus,Aspergillus awamori var. piceus,GCA_001599415.1
Aspergillus,Aspergillus baeticus,GCA_027569055.1
Aspergillus,Aspergillus bertholletiae,GCA_009193595.1
Aspergillus,Aspergillus biplanus,GCA_027569045.1
Aspergillus,Aspergillus bombycis,GCA_001792695.1
Aspergillus,Aspergillus brasiliensis,GCA_027924045.1
Aspergillus,Aspergillus brasiliensis,GCA_027924065.1
Aspergillus,Aspergillus brasiliensis,GCA_027924085.1
Aspergillus,Aspergillus brasiliensis,GCA_037892995.1
Aspergillus,Aspergillus brasiliensis CBS 101740,GCA_001889945.1
Aspergillus,Aspergillus bridgeri,GCA_027569665.1
Aspergillus,Aspergillus brunneoviolaceus CBS 621.78,GCA_003184695.1
Aspergillus,Aspergillus brunneus,GCA_020284055.1
Aspergillus,Aspergillus brunneus,GCA_020284075.1
Aspergillus,Aspergillus caelatus,GCA_009193585.1
Aspergillus,Aspergillus calidoustus,GCA_001511075.1
Aspergillus,Aspergillus calidoustus,GCA_022813285.1
Aspergillus,Aspergillus calidoustus,GCA_022814385.1
Aspergillus,Aspergillus calidoustus,GCA_022814395.1
Aspergillus,Aspergillus calidoustus,GCA_022814485.1
Aspergillus,Aspergillus calidoustus,GCA_022814525.1
Aspergillus,Aspergillus californicus,GCA_045785085.1
Aspergillus,Aspergillus campestris,GCA_037044165.1
Aspergillus,Aspergillus campestris IBT 28561,GCA_002847485.1
Aspergillus,Aspergillus candidus,GCA_002847045.1
Aspergillus,Aspergillus carbonarius ITEM 5010,GCA_001990825.1
Aspergillus,Aspergillus carlsbadensis,GCA_025688815.1
Aspergillus,Aspergillus carlsbadensis,GCA_051168675.1
Aspergillus,Aspergillus cavernicola,GCA_027569065.1
Aspergillus,Aspergillus cavernicola,GCA_044048685.1
Aspergillus,Aspergillus cejpii,GCA_004769165.1
Aspergillus,Aspergillus chevalieri,GCA_001599875.1
Aspergillus,Aspergillus chevalieri,GCA_016861735.1
Aspergillus,Aspergillus chevalieri,GCA_023619785.1
Aspergillus,Aspergillus chevalieri,GCA_023619795.1
Aspergillus,Aspergillus chevalieri,GCA_041430515.1
Aspergillus,Aspergillus chevalieri,GCA_041430555.1
Aspergillus,Aspergillus chevalieri,GCA_045514245.1
Aspergillus,Aspergillus chevalieri,GCA_049306625.1
Aspergillus,Aspergillus clavatus,GCA_023620035.1
Aspergillus,Aspergillus clavatus NRRL 1,GCA_000002715.1
Aspergillus,Aspergillus conjunctus,GCA_027569095.1
Aspergillus,Aspergillus coremiiformis,GCA_009193565.1
Aspergillus,Aspergillus costaricaensis CBS 115574,GCA_003184835.1
Aspergillus,Aspergillus costaricensis,GCA_022814465.1
Aspergillus,Aspergillus costaricensis,GCA_037044335.1
Aspergillus,Aspergillus costiformis,GCA_037044115.1
Aspergillus,Aspergillus creber,GCA_021436935.1
Aspergillus,Aspergillus cristatus,GCA_001693355.1
Aspergillus,Aspergillus cristatus,GCA_001717485.1
Aspergillus,Aspergillus cristatus,GCA_020465965.1
Aspergillus,Aspergillus cristatus,GCA_020466005.1
Aspergillus,Aspergillus cristatus,GCA_025766175.1
Aspergillus,Aspergillus cristatus,GCA_025766235.1
Aspergillus,Aspergillus cristatus,GCA_026770215.1
Aspergillus,Aspergillus cristatus,GCA_034509305.1
Aspergillus,Aspergillus cristatus,GCA_044232405.1
Aspergillus,Aspergillus cristatus,GCA_044706195.1
Aspergillus,Aspergillus cristatus,GCA_054135345.1
Aspergillus,Aspergillus cristatus,GCA_054825215.1
Aspergillus,Aspergillus croceus,GCA_019828945.1
Aspergillus,Aspergillus crustosus,GCA_048571495.1
Aspergillus,Aspergillus cvjetkovicii,GCA_027569695.1
Aspergillus,Aspergillus desertorum,GCA_047715865.1
Aspergillus,Aspergillus destruens,GCA_056320525.1
Aspergillus,Aspergillus destruens,GCA_056321185.1
Aspergillus,Aspergillus diversus,GCA_027569885.1
Aspergillus,Aspergillus egyptiacus,GCA_025688805.1
Aspergillus,Aspergillus elegans,GCA_016097275.1
Aspergillus,Aspergillus ellipticus CBS 707.79,GCA_003184645.1
Aspergillus,Aspergillus eucalypticola CBS 122712,GCA_003184535.1
Aspergillus,Aspergillus falconensis,GCA_047715845.1
Aspergillus,Aspergillus felis,GCA_014281895.1
Aspergillus,Aspergillus felis,GCA_014281915.1
Aspergillus,Aspergillus felis,GCA_016413765.1
Aspergillus,Aspergillus felis,GCA_055755405.1
Aspergillus,Aspergillus fijiensis,GCA_030014135.1
Aspergillus,Aspergillus fijiensis CBS 313.89,GCA_003184825.1
Aspergillus,Aspergillus filifer,GCA_047715815.1
Aspergillus,Aspergillus fischeri,GCA_008711165.1
Aspergillus,Aspergillus fischeri,GCA_008711225.1
Aspergillus,Aspergillus fischeri,GCA_014250575.1
Aspergillus,Aspergillus fischeri,GCA_016748045.1
Aspergillus,Aspergillus fischeri NRRL 181,GCA_000149645.4
Aspergillus,Aspergillus flavus,GCA_001576635.1
Aspergillus,Aspergillus flavus,GCA_001576645.1
Aspergillus,Aspergillus flavus,GCA_001576655.1
Aspergillus,Aspergillus flavus,GCA_001576715.1
Aspergillus,Aspergillus flavus,GCA_001576725.1
Aspergillus,Aspergillus flavus,GCA_001576735.1
Aspergillus,Aspergillus flavus,GCA_001576745.1
Aspergillus,Aspergillus flavus,GCA_001576795.1
Aspergillus,Aspergillus flavus,GCA_001695535.1
Aspergillus,Aspergillus flavus,GCA_002217615.1
Aspergillus,Aspergillus flavus,GCA_002217635.1
Aspergillus,Aspergillus flavus,GCA_002443195.2
Aspergillus,Aspergillus flavus,GCA_002443215.2
Aspergillus,Aspergillus flavus,GCA_002456175.2
Aspergillus,Aspergillus flavus,GCA_002864195.1
Aspergillus,Aspergillus flavus,GCA_003709025.1
Aspergillus,Aspergillus flavus,GCA_003711285.1
Aspergillus,Aspergillus flavus,GCA_003711305.1
Aspergillus,Aspergillus flavus,GCA_003711315.1
Aspergillus,Aspergillus flavus,GCA_003711345.1
Aspergillus,Aspergillus flavus,GCA_003711355.1
Aspergillus,Aspergillus flavus,GCA_003711385.1
Aspergillus,Aspergillus flavus,GCA_003953485.1
Aspergillus,Aspergillus flavus,GCA_003953495.1
Aspergillus,Aspergillus flavus,GCA_003953505.1
Aspergillus,Aspergillus flavus,GCA_003953515.1
Aspergillus,Aspergillus flavus,GCA_003953525.1
Aspergillus,Aspergillus flavus,GCA_003953585.1
Aspergillus,Aspergillus flavus,GCA_003953595.1
Aspergillus,Aspergillus flavus,GCA_003953605.1
Aspergillus,Aspergillus flavus,GCA_003953615.1
Aspergillus,Aspergillus flavus,GCA_003953625.1
Aspergillus,Aspergillus flavus,GCA_003953685.1
Aspergillus,Aspergillus flavus,GCA_003953695.1
Aspergillus,Aspergillus flavus,GCA_003953705.1
Aspergillus,Aspergillus flavus,GCA_003953715.1
Aspergillus,Aspergillus flavus,GCA_003953735.1
Aspergillus,Aspergillus flavus,GCA_003953785.1
Aspergillus,Aspergillus flavus,GCA_003953795.1
Aspergillus,Aspergillus flavus,GCA_003953805.1
Aspergillus,Aspergillus flavus,GCA_003953825.1
Aspergillus,Aspergillus flavus,GCA_003953865.1
Aspergillus,Aspergillus flavus,GCA_003967615.1
Aspergillus,Aspergillus flavus,GCA_003967635.1
Aspergillus,Aspergillus flavus,GCA_003967655.1
Aspergillus,Aspergillus flavus,GCA_003967675.1
Aspergillus,Aspergillus flavus,GCA_003967695.1
Aspergillus,Aspergillus flavus,GCA_003967715.1
Aspergillus,Aspergillus flavus,GCA_003967735.1
Aspergillus,Aspergillus flavus,GCA_003967755.1
Aspergillus,Aspergillus flavus,GCA_003967775.1
Aspergillus,Aspergillus flavus,GCA_003967795.1
Aspergillus,Aspergillus flavus,GCA_004150275.1
Aspergillus,Aspergillus flavus,GCA_004329145.1
Aspergillus,Aspergillus flavus,GCA_008694405.1
Aspergillus,Aspergillus flavus,GCA_008694415.1
Aspergillus,Aspergillus flavus,GCA_008694425.1
Aspergillus,Aspergillus flavus,GCA_008694435.1
Aspergillus,Aspergillus flavus,GCA_009017415.1
Aspergillus,Aspergillus flavus,GCA_009176375.1
Aspergillus,Aspergillus flavus,GCA_009856665.1
Aspergillus,Aspergillus flavus,GCA_011420395.1
Aspergillus,Aspergillus flavus,GCA_011420405.1
Aspergillus,Aspergillus flavus,GCA_011420415.1
Aspergillus,Aspergillus flavus,GCA_011420435.1
Aspergillus,Aspergillus flavus,GCA_012895975.1
Aspergillus,Aspergillus flavus,GCA_012896145.1
Aspergillus,Aspergillus flavus,GCA_012896275.1
Aspergillus,Aspergillus flavus,GCA_012896415.1
Aspergillus,Aspergillus flavus,GCA_012896555.1
Aspergillus,Aspergillus flavus,GCA_012896705.1
Aspergillus,Aspergillus flavus,GCA_012896875.1
Aspergillus,Aspergillus flavus,GCA_012896995.1
Aspergillus,Aspergillus flavus,GCA_012897115.1
Aspergillus,Aspergillus flavus,GCA_012897275.1
Aspergillus,Aspergillus flavus,GCA_013145855.1
Aspergillus,Aspergillus flavus,GCA_013145865.1
Aspergillus,Aspergillus flavus,GCA_013145925.1
Aspergillus,Aspergillus flavus,GCA_013146015.1
Aspergillus,Aspergillus flavus,GCA_013146025.1
Aspergillus,Aspergillus flavus,GCA_013146035.1
Aspergillus,Aspergillus flavus,GCA_013146155.1
Aspergillus,Aspergillus flavus,GCA_013146165.1
Aspergillus,Aspergillus flavus,GCA_013435725.1
Aspergillus,Aspergillus flavus,GCA_013435825.1
Aspergillus,Aspergillus flavus,GCA_013435835.1
Aspergillus,Aspergillus flavus,GCA_013435855.1
Aspergillus,Aspergillus flavus,GCA_013435925.1
Aspergillus,Aspergillus flavus,GCA_013436085.1
Aspergillus,Aspergillus flavus,GCA_013436095.1
Aspergillus,Aspergillus flavus,GCA_013436105.1
Aspergillus,Aspergillus flavus,GCA_013436115.1
Aspergillus,Aspergillus flavus,GCA_013436165.1
Aspergillus,Aspergillus flavus,GCA_013436195.1
Aspergillus,Aspergillus flavus,GCA_013436215.1
Aspergillus,Aspergillus flavus,GCA_013436235.1
Aspergillus,Aspergillus flavus,GCA_013436315.1
Aspergillus,Aspergillus flavus,GCA_013436325.1
Aspergillus,Aspergillus flavus,GCA_013436335.1
Aspergillus,Aspergillus flavus,GCA_013436355.1
Aspergillus,Aspergillus flavus,GCA_013436375.1
Aspergillus,Aspergillus flavus,GCA_013436445.1
Aspergillus,Aspergillus flavus,GCA_013436455.1
Aspergillus,Aspergillus flavus,GCA_014117485.1
Aspergillus,Aspergillus flavus,GCA_014784225.2
Aspergillus,Aspergillus flavus,GCA_018140865.1
Aspergillus,Aspergillus flavus,GCA_018140885.1
Aspergillus,Aspergillus flavus,GCA_019880445.1
Aspergillus,Aspergillus flavus,GCA_020091605.1
Aspergillus,Aspergillus flavus,GCA_023653635.1
Aspergillus,Aspergillus flavus,GCA_024665695.1
Aspergillus,Aspergillus flavus,GCA_024665715.1
Aspergillus,Aspergillus flavus,GCA_024666635.1
Aspergillus,Aspergillus flavus,GCA_024666645.1
Aspergillus,Aspergillus flavus,GCA_024667035.1
