# Assembly type counts
# Scaffold,452
# Contig,278
# Chromosome,45
# Complete Genome,44
# N/A,40
#
organism_name,assembly_id,assembly_type
Armillaria fuscipes,GCA_001679825.1,Scaffold
Armillaria gallica,GCA_037576215.1,Contig
Armillaria luteobubalina,GCA_030435615.1,Contig
Armillaria mellea,GCA_030407055.1,Contig
Armillaria novae-zelandiae,GCA_030435655.1,Contig
Armillaria ostoyae,GCA_902506015.1,N/A
Armillaria solidipes,GCA_022818035.1,Scaffold
Armillaria spp.,GCA_001679825.1,Scaffold
Armillaria spp.,GCA_022818035.1,Scaffold
Armillaria spp.,GCA_022818075.1,Scaffold
Armillaria spp.,GCA_028551335.1,Contig
Armillaria spp.,GCA_030407015.1,Contig
Armillaria spp.,GCA_030407055.1,Contig
Armillaria spp.,GCA_030407065.1,Contig
Armillaria spp.,GCA_030435615.1,Contig
Armillaria spp.,GCA_030435635.1,Contig
Armillaria spp.,GCA_030435655.1,Contig
Armillaria spp.,GCA_037576215.1,Contig
Armillaria spp.,GCA_900157415.1,N/A
Armillaria spp.,GCA_902506015.1,N/A
Ascochyta fabae,GCA_004335285.1,Contig
Ascochyta koolunga,GCA_026119515.1,Scaffold
Ascochyta lentis,GCA_004011705.1,Contig
Ascochyta pisi,GCA_039634435.1,Complete Genome
Ascochyta rabiei,GCF_004011695.2,Complete Genome
Ascochyta spp.,GCA_004011705.1,Contig
Ascochyta spp.,GCA_004335155.1,Contig
Ascochyta spp.,GCA_004335205.1,Contig
Ascochyta spp.,GCA_004335285.1,Contig
Ascochyta spp.,GCA_026119515.1,Scaffold
Ascochyta spp.,GCA_027946445.1,Contig
Ascochyta spp.,GCA_039634435.1,Complete Genome
Ascochyta spp.,GCF_004011695.2,Complete Genome
Ascochyta viciae-villosae,GCA_004335155.1,Contig
Ascochyta viciae-villosae,GCA_004335205.1,Contig
Aspergillus fumigatus,GCF_000002655.1,Chromosome
Aspergillus niger,GCF_000002855.4,Scaffold
Bipolaris spp.,GCA_002286855.1,Scaffold
Bipolaris spp.,GCA_026262445.1,Scaffold
Bipolaris spp.,GCA_030558545.1,Scaffold
Bipolaris spp.,GCF_000338995.1,Scaffold
Bipolaris spp.,GCF_000354255.1,Scaffold
Bipolaris spp.,GCF_000523435.1,Scaffold
Bipolaris spp.,GCF_000523455.1,Scaffold
Bipolaris spp.,GCF_000527765.1,N/A
Blumeriella jaapii,GCA_009599575.1,Contig
Boeremia exigua,GCF_020726555.1,Contig
Botryosphaeria dothidea,GCA_011503125.2,Contig
Botryosphaeria spp.,GCA_011503125.2,Contig
Botryosphaeria spp.,GCA_022813555.1,Scaffold
Botrytis aclada,GCA_014898285.1,Contig
Botrytis byssoidea,GCF_014898295.1,Contig
Botrytis cinerea,GCF_000143535.2,Complete Genome
Botrytis cinerea B05.10,GCF_000143535.2,Complete Genome
Botrytis deweyae,GCF_014898535.1,Contig
Botrytis elliptica,GCA_024478385.1,Contig
Botrytis fabae,GCA_032594075.1,Complete Genome
Botrytis fragariae,GCF_013461495.1,Contig
Botrytis medusae,GCA_019395255.1,Contig
Botrytis paeoniae,GCA_004786145.1,Scaffold
Botrytis porri,GCF_014898465.1,Contig
Botrytis pseudocinerea,GCA_019395245.1,Contig
Botrytis sinoallii,GCF_014898435.1,Contig
Botrytis spp.,GCA_004786125.1,Scaffold
Botrytis spp.,GCA_004786145.1,Scaffold
Botrytis spp.,GCA_004786245.1,Scaffold
Botrytis spp.,GCA_004916875.1,Scaffold
Botrytis spp.,GCA_014898285.1,Contig
Botrytis spp.,GCA_014898485.2,Contig
Botrytis spp.,GCA_019395245.1,Contig
Botrytis spp.,GCA_019395255.1,Contig
Botrytis spp.,GCA_024478385.1,Contig
Botrytis spp.,GCA_032594075.1,Complete Genome
Botrytis spp.,GCF_000143535.2,Complete Genome
Botrytis spp.,GCF_013461495.1,Contig
Botrytis spp.,GCF_014898295.1,Contig
Botrytis spp.,GCF_014898435.1,Contig
Botrytis spp.,GCF_014898465.1,Contig
Botrytis spp.,GCF_014898535.1,Contig
Botrytis squamosa,GCA_014898485.2,Contig
Botrytis tulipae,GCA_004786125.1,Scaffold
Bremia lactucae,GCA_004359215.2,Chromosome
Ceratobasidium theobromae,GCA_037974915.1,Contig
Cercospora berteroae,GCA_002933655.1,Scaffold
Cercospora beticola,GCF_002742065.1,Chromosome
Cercospora brassicicola,GCA_013365245.1,Scaffold
Cercospora canescens,GCA_000347735.1,Contig
Cercospora citrullina,GCA_013365195.1,Scaffold
Cercospora janseana,GCA_026725115.1,Chromosome
Cercospora nicotianae,GCA_029490675.1,Contig
Cercospora sesami,GCA_013365235.1,Scaffold
Cercospora sojina,GCA_004299825.1,Complete Genome
Cercospora spp.,GCA_000347735.1,Contig
Cercospora spp.,GCA_002933655.1,Scaffold
Cercospora spp.,GCA_004299825.1,Complete Genome
Cercospora spp.,GCA_005356805.1,Scaffold
Cercospora spp.,GCA_005356885.1,Scaffold
Cercospora spp.,GCA_013365195.1,Scaffold
Cercospora spp.,GCA_013365235.1,Scaffold
Cercospora spp.,GCA_013365245.1,Scaffold
Cercospora spp.,GCA_022702355.1,Contig
Cercospora spp.,GCA_022965775.1,Complete Genome
Cercospora spp.,GCA_023512815.1,Contig
Cercospora spp.,GCA_026725115.1,Chromosome
Cercospora spp.,GCA_029490675.1,Contig
Cercospora spp.,GCF_002742065.1,Chromosome
Cercospora zeae-maydis,GCA_023512815.1,Contig
Cercospora zeina,GCA_022702355.1,Contig
Ciborinia camelliae,GCA_025890175.1,Scaffold
Cladosporium colombiae,GCA_026122715.1,Contig
Cladosporium cucumerinum,GCA_023634325.1,Contig
Cladosporium phlei,GCA_003614995.1,Contig
Cladosporium velox,GCA_024604135.1,Contig
Clonostachys byssicola,GCA_902006505.2,N/A
Clonostachys rhizophaga,GCA_902077795.2,N/A
Colletotrichum gloeosporioides,GCF_011800055.1,Scaffold
Colletotrichum graminicola,GCF_000149035.1,Scaffold
Curvularia spp.,GCA_000817285.1,Contig
Curvularia spp.,GCA_002161795.1,Scaffold
Curvularia spp.,GCA_005212705.1,Scaffold
Curvularia spp.,GCA_011058905.1,Scaffold
Curvularia spp.,GCA_020744315.1,Contig
Curvularia spp.,GCA_022457065.1,Contig
Curvularia spp.,GCA_023920165.1,Complete Genome
Curvularia spp.,GCA_026262405.1,Scaffold
Curvularia spp.,GCA_026262435.1,Scaffold
Curvularia spp.,GCA_036172615.1,Contig
Cytospora chrysosperma,GCA_016808195.1,Scaffold
Cytospora leucostoma,GCA_003795295.1,Scaffold
Cytospora mali,GCA_025426655.1,Contig
Cytospora paraplurivora,GCA_021272945.2,Contig
Cytospora piceae,GCA_016508685.1,Contig
Cytospora piceicola,GCA_023375675.1,Scaffold
Cytospora spp.,GCA_003795295.1,Scaffold
Cytospora spp.,GCA_003795315.1,Scaffold
Cytospora spp.,GCA_016508685.1,Contig
Cytospora spp.,GCA_016808195.1,Scaffold
Cytospora spp.,GCA_021272945.2,Contig
Cytospora spp.,GCA_023375675.1,Scaffold
Cytospora spp.,GCA_025426655.1,Contig
Diaporthe ampelina,GCA_023522825.1,Contig
Diaporthe amygdali,GCF_026229845.1,Scaffold
Diaporthe aspalathi,GCA_001447215.1,Scaffold
Diaporthe australafricana,GCA_039880735.1,Contig
Diaporthe batatas,GCF_019321695.1,Contig
Diaporthe capsici,GCA_013364905.1,Contig
Diaporthe caulivora,GCA_023703485.1,Contig
Diaporthe citri,GCF_014595645.1,Contig
Diaporthe destruens,GCA_036986855.1,Contig
Diaporthe eres,GCA_022225955.2,Contig
Diaporthe helianthi,GCA_001702395.2,Scaffold
Diaporthe humulicola,GCA_038088545.1,Contig
Diaporthe ilicicola,GCA_023242295.1,Scaffold
Diaporthe longicolla,GCA_000800745.1,Scaffold
Diaporthe nobilis,GCA_023078575.1,Contig
Diaporthe vaccinii,GCA_039880775.1,Scaffold
Diaporthe vexans,GCA_021188095.1,Contig
Didymella arachidicola,GCA_016630955.3,Chromosome
Didymella glomerata,GCA_030271015.1,Scaffold
Didymella pinodella,GCA_039634465.1,Complete Genome
Didymella pomorum,GCA_022225945.1,Scaffold
Didymella segeticola,GCA_004522025.1,Contig
Diplocarpon mali,GCA_024741835.1,Scaffold
Diplocarpon rosae,GCA_032760415.1,Contig
Elsinoe ampelina,GCA_005959805.1,Contig
Elsinoe arachidis,GCA_013372555.1,Contig
Elsinoe australis,GCA_007556505.1,Scaffold
Elsinoe batatas,GCA_017309325.2,Contig
Elsinoe fawcettii,GCA_007556565.1,Scaffold
Elsinoe necatrix,GCA_033846785.1,Contig
Elsinoe perseae,GCA_029448695.1,Contig
Elsinoe spp.,GCA_005959805.1,Contig
Elsinoe spp.,GCA_007556505.1,Scaffold
Elsinoe spp.,GCA_007556565.1,Scaffold
Elsinoe spp.,GCA_013372555.1,Contig
Elsinoe spp.,GCA_017309325.2,Contig
Elsinoe spp.,GCA_029448695.1,Contig
Elsinoe spp.,GCA_033846785.1,Contig
Eremothecium cymbalariae,GCF_000235365.1,Chromosome
Erysiphe pisi,GCA_000208805.1,Contig
Erysiphe pulchra,GCA_002918395.1,Scaffold
Eutypa lata,GCA_022661535.1,Contig
Exobasidium spp.,GCA_023273805.1,Complete Genome
Exobasidium spp.,GCA_026210745.1,Complete Genome
Fusarium abutilonis,GCA_021655885.1,Scaffold
Fusarium acutatum,GCA_012932015.1,Scaffold
Fusarium asiaticum,GCA_025258505.1,Complete Genome
Fusarium avenaceum,GCA_025948275.1,Complete Genome
Fusarium boothii,GCA_017656985.1,Scaffold
Fusarium brachygibbosum,GCA_018886245.1,Scaffold
Fusarium cerealis,GCA_019055205.1,Contig
Fusarium chlamydosporum,GCA_014898915.1,Scaffold
Fusarium circinatum,GCA_024047395.1,Chromosome
Fusarium culmorum,GCA_016952355.1,Complete Genome
Fusarium denticulatum,GCA_013396175.1,Scaffold
Fusarium equiseti,GCA_003313175.1,Contig
Fusarium euwallaceae,GCA_002168265.2,Scaffold
Fusarium falciforme,GCF_026873545.1,Complete Genome
Fusarium fujikuroi,GCF_900079805.1,N/A
Fusarium graminearum,GCF_000240135.3,Chromosome
Fusarium keratoplasticum,GCF_025433545.1,Chromosome
Fusarium kyushuense,GCA_034753255.1,Chromosome
Fusarium mangiferae,GCF_900044065.1,N/A
Fusarium meridionale,GCA_032355295.1,Complete Genome
Fusarium musae,GCF_019915245.1,Chromosome
Fusarium neocosmosporiellum,GCA_006518225.1,Scaffold
Fusarium nygamai,GCA_001262555.1,Scaffold
Fusarium odoratissimum,GCF_000260195.1,Scaffold
Fusarium oligoseptatum,GCA_003946995.1,Scaffold
Fusarium oxysporum,GCF_013085055.1,Complete Genome
Fusarium paranaense,GCA_027886155.1,Scaffold
Fusarium poae,GCF_019609905.1,Chromosome
Fusarium proliferatum,GCF_900067095.1,N/A
Fusarium pseudoanthophilum,GCA_013395995.1,Scaffold
Fusarium pseudograminearum,GCF_000303195.2,Chromosome
Fusarium pseudonygamai,GCA_013186785.1,Scaffold
Fusarium redolens,GCF_020744475.1,Contig
Fusarium sacchari,GCA_017165645.1,Contig
Fusarium sambucinum,GCA_001567575.1,Contig
Fusarium solani,GCA_023101225.1,Complete Genome
Fusarium solani-melongenae,GCA_023101225.1,Complete Genome
Fusarium sporotrichioides,GCA_019054645.1,Scaffold
Fusarium spp.,GCA_000966855.1,Scaffold
Fusarium spp.,GCA_000966865.1,Scaffold
Fusarium spp.,GCA_001262555.1,Scaffold
Fusarium spp.,GCA_001513835.1,Scaffold
Fusarium spp.,GCA_001567575.1,Contig
Fusarium spp.,GCA_001633045.1,Scaffold
Fusarium spp.,GCA_001654545.1,Scaffold
Fusarium spp.,GCA_001680515.1,Contig
Fusarium spp.,GCA_001680625.1,Contig
Fusarium spp.,GCA_002093855.1,Scaffold
Fusarium spp.,GCA_002165215.1,Scaffold
Fusarium spp.,GCA_002168265.2,Scaffold
Fusarium spp.,GCA_002234235.1,Scaffold
Fusarium spp.,GCA_002234255.1,Scaffold
Fusarium spp.,GCA_002980475.2,Scaffold
Fusarium spp.,GCA_002980515.1,Scaffold
Fusarium spp.,GCA_002982035.1,Scaffold
Fusarium spp.,GCA_003313175.1,Contig
Fusarium spp.,GCA_003353625.1,Scaffold
Fusarium spp.,GCA_003670145.1,Scaffold
Fusarium spp.,GCA_003946985.1,Scaffold
Fusarium spp.,GCA_003946995.1,Scaffold
Fusarium spp.,GCA_003947005.1,Scaffold
Fusarium spp.,GCA_003947015.1,Contig
Fusarium spp.,GCA_003947045.1,Scaffold
Fusarium spp.,GCA_004366955.1,Scaffold
Fusarium spp.,GCA_004367055.1,Scaffold
Fusarium spp.,GCA_004367075.1,Scaffold
Fusarium spp.,GCA_004367095.1,Scaffold
Fusarium spp.,GCA_004367155.1,Scaffold
Fusarium spp.,GCA_004367475.1,Scaffold
Fusarium spp.,GCA_004367485.1,Scaffold
Fusarium spp.,GCA_004367495.1,Scaffold
Fusarium spp.,GCA_006518225.1,Scaffold
Fusarium spp.,GCA_008711595.1,Scaffold
Fusarium spp.,GCA_010015875.1,Scaffold
Fusarium spp.,GCA_011033385.1,Scaffold
Fusarium spp.,GCA_011033785.1,Scaffold
Fusarium spp.,GCA_011034095.1,Scaffold
Fusarium spp.,GCA_011035825.1,Scaffold
Fusarium spp.,GCA_011036685.1,Scaffold
Fusarium spp.,GCA_011320165.1,Scaffold
Fusarium spp.,GCA_012931995.1,Scaffold
Fusarium spp.,GCA_012932015.1,Scaffold
Fusarium spp.,GCA_012932025.1,Scaffold
Fusarium spp.,GCA_012977735.1,Scaffold
Fusarium spp.,GCA_012977745.1,Scaffold
Fusarium spp.,GCA_012977755.1,Scaffold
Fusarium spp.,GCA_012978555.1,Scaffold
Fusarium spp.,GCA_013183765.1,Scaffold
Fusarium spp.,GCA_013184325.1,Scaffold
Fusarium spp.,GCA_013184375.1,Scaffold
Fusarium spp.,GCA_013184415.1,Scaffold
Fusarium spp.,GCA_013184445.1,Scaffold
Fusarium spp.,GCA_013184455.1,Scaffold
Fusarium spp.,GCA_013186375.1,Scaffold
Fusarium spp.,GCA_013186395.1,Scaffold
Fusarium spp.,GCA_013186415.1,Scaffold
Fusarium spp.,GCA_013186425.2,Scaffold
Fusarium spp.,GCA_013186755.1,Scaffold
Fusarium spp.,GCA_013186775.1,Contig
Fusarium spp.,GCA_013186785.1,Scaffold
Fusarium spp.,GCA_013186845.1,Scaffold
Fusarium spp.,GCA_013186855.1,Scaffold
Fusarium spp.,GCA_013186905.1,Scaffold
Fusarium spp.,GCA_013186925.1,Contig
Fusarium spp.,GCA_013266165.1,Scaffold
Fusarium spp.,GCA_013266175.1,Scaffold
Fusarium spp.,GCA_013266185.1,Scaffold
Fusarium spp.,GCA_013266195.1,Scaffold
Fusarium spp.,GCA_013266205.1,Scaffold
Fusarium spp.,GCA_013266265.1,Scaffold
Fusarium spp.,GCA_013363135.1,Scaffold
Fusarium spp.,GCA_013363185.1,Scaffold
Fusarium spp.,GCA_013363205.1,Scaffold
Fusarium spp.,GCA_013364935.1,Scaffold
Fusarium spp.,GCA_013364945.1,Scaffold
Fusarium spp.,GCA_013395995.1,Scaffold
Fusarium spp.,GCA_013396005.1,Scaffold
Fusarium spp.,GCA_013396015.1,Scaffold
Fusarium spp.,GCA_013396025.1,Scaffold
Fusarium spp.,GCA_013396035.1,Scaffold
Fusarium spp.,GCA_013396095.1,Contig
Fusarium spp.,GCA_013396165.1,Scaffold
Fusarium spp.,GCA_013396175.1,Scaffold
Fusarium spp.,GCA_013396205.1,Scaffold
Fusarium spp.,GCA_013396255.1,Scaffold
Fusarium spp.,GCA_013396295.1,Scaffold
Fusarium spp.,GCA_013416785.2,Scaffold
Fusarium spp.,GCA_013618265.1,Scaffold
Fusarium spp.,GCA_013618295.1,Scaffold
Fusarium spp.,GCA_013618395.1,Scaffold
Fusarium spp.,GCA_013618405.1,Scaffold
Fusarium spp.,GCA_013618495.1,Scaffold
Fusarium spp.,GCA_013623355.1,Scaffold
Fusarium spp.,GCA_013623515.1,Scaffold
Fusarium spp.,GCA_013623525.1,Scaffold
Fusarium spp.,GCA_013623535.1,Scaffold
Fusarium spp.,GCA_013623555.1,Scaffold
Fusarium spp.,GCA_013623625.1,Scaffold
Fusarium spp.,GCA_013623665.1,Scaffold
Fusarium spp.,GCA_013623685.1,Scaffold
Fusarium spp.,GCA_013623715.1,Scaffold
Fusarium spp.,GCA_013623725.1,Scaffold
Fusarium spp.,GCA_013623845.1,Scaffold
Fusarium spp.,GCA_013624355.1,Scaffold
Fusarium spp.,GCA_013755755.1,Scaffold
Fusarium spp.,GCA_013758895.1,Scaffold
Fusarium spp.,GCA_013759095.1,Scaffold
Fusarium spp.,GCA_013759125.1,Scaffold
Fusarium spp.,GCA_013781345.1,Scaffold
Fusarium spp.,GCA_014764975.2,Contig
Fusarium spp.,GCA_014822075.1,Scaffold
Fusarium spp.,GCA_014822085.1,Scaffold
Fusarium spp.,GCA_014824365.1,Scaffold
Fusarium spp.,GCA_014824385.1,Scaffold
Fusarium spp.,GCA_014824405.1,Scaffold
Fusarium spp.,GCA_014884825.1,Contig
Fusarium spp.,GCA_014885045.1,Contig
Fusarium spp.,GCA_014898835.1,Scaffold
Fusarium spp.,GCA_014898875.1,Scaffold
Fusarium spp.,GCA_014898885.1,Scaffold
Fusarium spp.,GCA_014898915.1,Scaffold
Fusarium spp.,GCA_014898925.1,Scaffold
Fusarium spp.,GCA_014898975.1,Scaffold
Fusarium spp.,GCA_014898995.1,Scaffold
Fusarium spp.,GCA_014899045.1,Scaffold
Fusarium spp.,GCA_014899075.1,Scaffold
Fusarium spp.,GCA_014899095.1,Scaffold
Fusarium spp.,GCA_016952355.1,Complete Genome
Fusarium spp.,GCA_017140155.1,Scaffold
Fusarium spp.,GCA_017140175.1,Scaffold
Fusarium spp.,GCA_017165645.1,Contig
Fusarium spp.,GCA_017579625.1,Scaffold
Fusarium spp.,GCA_017654865.1,Scaffold
Fusarium spp.,GCA_017656575.1,Scaffold
Fusarium spp.,GCA_017656595.1,Scaffold
Fusarium spp.,GCA_017656675.1,Scaffold
Fusarium spp.,GCA_017656695.1,Scaffold
Fusarium spp.,GCA_017656745.1,Scaffold
Fusarium spp.,GCA_017656775.1,Scaffold
Fusarium spp.,GCA_017656985.1,Scaffold
Fusarium spp.,GCA_017657045.1,Scaffold
Fusarium spp.,GCA_017657105.1,Scaffold
Fusarium spp.,GCA_018886245.1,Scaffold
Fusarium spp.,GCA_019054645.1,Scaffold
Fusarium spp.,GCA_019054715.1,Scaffold
Fusarium spp.,GCA_019054735.1,Scaffold
Fusarium spp.,GCA_019055205.1,Contig
Fusarium spp.,GCA_019189775.1,Scaffold
Fusarium spp.,GCA_019191175.1,Scaffold
Fusarium spp.,GCA_019843635.1,Scaffold
Fusarium spp.,GCA_020137375.1,Scaffold
Fusarium spp.,GCA_020615335.1,Contig
Fusarium spp.,GCA_020744335.1,Contig
Fusarium spp.,GCA_020744515.1,Contig
Fusarium spp.,GCA_020883615.1,Contig
Fusarium spp.,GCA_020976545.1,Scaffold
Fusarium spp.,GCA_021020635.1,Contig
Fusarium spp.,GCA_021223625.1,Contig
Fusarium spp.,GCA_021533815.1,Contig
Fusarium spp.,GCA_021655865.1,Scaffold
Fusarium spp.,GCA_021655885.1,Scaffold
Fusarium spp.,GCA_021655895.1,Scaffold
Fusarium spp.,GCA_021730345.1,Scaffold
Fusarium spp.,GCA_021730365.1,Scaffold
Fusarium spp.,GCA_022627095.1,Scaffold
Fusarium spp.,GCA_022627125.1,Scaffold
Fusarium spp.,GCA_022833035.1,Scaffold
Fusarium spp.,GCA_023101225.1,Complete Genome
Fusarium spp.,GCA_023509735.1,Scaffold
Fusarium spp.,GCA_024047395.1,Chromosome
Fusarium spp.,GCA_025258505.1,Complete Genome
Fusarium spp.,GCA_025433565.1,Chromosome
Fusarium spp.,GCA_025433615.1,Chromosome
Fusarium spp.,GCA_025948275.1,Complete Genome
Fusarium spp.,GCA_027886155.1,Scaffold
Fusarium spp.,GCA_027886205.1,Scaffold
Fusarium spp.,GCA_027945245.1,Scaffold
Fusarium spp.,GCA_027945595.1,Scaffold
Fusarium spp.,GCA_028416715.1,Contig
Fusarium spp.,GCA_030142105.1,Contig
Fusarium spp.,GCA_030411635.1,Contig
Fusarium spp.,GCA_030772735.1,Contig
Fusarium spp.,GCA_030777805.1,Contig
Fusarium spp.,GCA_030779165.1,Contig
Fusarium spp.,GCA_030779245.1,Contig
Fusarium spp.,GCA_032355295.1,Complete Genome
Fusarium spp.,GCA_033030565.1,Scaffold
Fusarium spp.,GCA_033439405.1,Scaffold
Fusarium spp.,GCA_034753255.1,Chromosome
Fusarium spp.,GCA_037576055.1,Scaffold
Fusarium spp.,GCA_037577415.1,Contig
Fusarium spp.,GCA_037577435.1,Contig
Fusarium spp.,GCA_900312805.1,N/A
Fusarium spp.,GCA_954870535.1,N/A
Fusarium spp.,GCF_000149555.1,Chromosome
Fusarium spp.,GCF_000151355.1,Scaffold
Fusarium spp.,GCF_000240135.3,Chromosome
Fusarium spp.,GCF_000260195.1,Scaffold
Fusarium spp.,GCF_000303195.2,Chromosome
Fusarium spp.,GCF_003316985.1,Contig
Fusarium spp.,GCF_013085055.1,Complete Genome
Fusarium spp.,GCF_013396075.1,Contig
Fusarium spp.,GCF_013396195.1,Scaffold
Fusarium spp.,GCF_019609905.1,Chromosome
Fusarium spp.,GCF_019915245.1,Chromosome
Fusarium spp.,GCF_020744475.1,Contig
Fusarium spp.,GCF_025433545.1,Chromosome
Fusarium spp.,GCF_026873545.1,Complete Genome
Fusarium spp.,GCF_900007375.1,N/A
Fusarium spp.,GCF_900044065.1,N/A
Fusarium spp.,GCF_900067095.1,N/A
Fusarium spp.,GCF_900079805.1,N/A
Fusarium sterilihyphosum,GCA_013186845.1,Scaffold
Fusarium subtropicale,GCA_003670145.1,Scaffold
Fusarium sulawesiense,GCA_037577435.1,Contig
Fusarium temperatum,GCA_001513835.1,Scaffold
Fusarium tricinctum,GCA_020744515.1,Contig
Fusarium vanettenii,GCF_000151355.1,Scaffold
Fusarium venenatum,GCF_900007375.1,N/A
Fusarium verticillioides,GCF_000149555.1,Chromosome
Fusarium virguliforme,GCA_020883615.1,Contig
Fusarium vorosii,GCA_017656575.1,Scaffold
Fusarium xylarioides,GCA_013183765.1,Scaffold
Ganoderma boninense,GCA_002900995.3,Chromosome
Ganoderma lingzhi,GCA_026283605.1,Contig
Ganoderma lucidum,GCA_019426095.1,Scaffold
Ganoderma meredithae,GCA_022814645.1,Scaffold
Geotrichum citri-aurantii,GCA_030463015.1,Scaffold
Golovinomyces cichoracearum,GCA_003611235.1,Scaffold
Heterobasidion annosum,GCA_001457955.1,Scaffold
Laetiporus sulphureus,GCF_001632365.1,Scaffold
Lasiodiplodia citricola,GCA_023089105.1,Scaffold
Lasiodiplodia gonubiensis,GCA_009829795.1,Scaffold
Lasiodiplodia hormozganensis,GCA_030512325.1,Scaffold
Lasiodiplodia mahajangana,GCA_029590625.1,Contig
Lasiodiplodia theobromae,GCF_012971845.1,Contig
Macrophomina phaseolina,GCA_020875535.1,Contig
Macrophomina pseudophaseolina,GCA_022204955.1,Contig
Microdochium nivale,GCA_026745475.1,Contig
Monilinia aucupariae,GCA_002162555.1,Scaffold
Monilinia fructicola,GCA_008692225.1,Contig
Monilinia fructigena,GCA_003260565.1,Contig
Monilinia laxa,GCA_009299455.1,Contig
Monilinia polystroma,GCA_002909645.1,Scaffold
Monilinia spp.,GCA_002162555.1,Scaffold
Monilinia spp.,GCA_002909645.1,Scaffold
Monilinia spp.,GCA_003260565.1,Contig
Monilinia spp.,GCA_008692225.1,Contig
Monilinia spp.,GCA_009299455.1,Contig
Monilinia spp.,GCA_017357885.1,Chromosome
Monilinia vaccinii-corymbosi,GCA_017357885.1,Chromosome
Mucor piriformis,GCA_943193625.1,N/A
Mycosphaerella arachidis,GCA_001297265.1,Scaffold
Mycosphaerella spp.,GCA_000504405.2,Scaffold
Mycosphaerella spp.,GCA_001297265.1,Scaffold
Mycosphaerella spp.,GCA_002116345.1,Scaffold
Mycosphaerella spp.,GCA_002153405.1,Scaffold
Neofusicoccum kwambonambiense,GCA_009829855.1,Scaffold
Neofusicoccum laricinum,GCA_029906385.1,Chromosome
Neofusicoccum parvum,GCA_020912385.1,Complete Genome
Neofusicoccum ribis,GCA_021436925.1,Scaffold
Neofusicoccum spp.,GCA_009829365.1,Scaffold
Neofusicoccum spp.,GCA_009829855.1,Scaffold
Neofusicoccum spp.,GCA_009830905.1,Scaffold
Neofusicoccum spp.,GCA_020912385.1,Complete Genome
